x0,x1,x2,x3,x4,x5,x6,batch_id,cand_index,role,pred_log_fom,pred_rank_in_batch,ckpt_step,fom,fom_error,fom_seconds
2.4249542137778652,128.15029306691594,7.829814079569202,5.64154641503471,5.3700624905936785,123.43714796378337,125.99960484264837,0,-1,centre,71.8943142407346,-1,2500,1.6851348427824277e+31,,
4.587903127343893,139.15029306691594,7.1118676936766,7.873123240001078,7.363944057082632,127.67289414704412,125.03998734452558,0,0,candidate,72.7020121256837,16,2500,3.676020966179997e+31,,
3.9759187848658106,129.584825503171,7.849003211380686,6.7352714876635105,5.4057627919804085,117.74606068896746,126.25438598631771,0,1,candidate,72.2477488618113,7,2500,1.9997036399242968e+31,,
4.074067991123679,123.3605347053495,7.488135957841614,4.886524216053954,4.4591134674031245,116.86762426347266,129.59643073287612,0,2,candidate,72.06113793160932,3,2500,2.3535198528791884e+31,,
2.3585403050265534,128.3999904913508,6.741205956034991,5.7562850026923895,4.919747460517299,126.9097512584813,114.99960484264837,0,3,candidate,72.52795356742132,12,2500,2.508773530012263e+31,,
2.2596934599491396,125.70887747295855,7.780116349798792,5.968924950537228,5.772373366217815,122.82301180343894,120.61354362638895,0,4,candidate,71.9835345725978,1,2500,1.5865548268219374e+31,,
5.412514109943695,133.1597591871023,7.964074351056981,6.939371891430796,5.86645203448931,118.99963590865124,125.4229477052175,0,5,candidate,72.5725934055109,14,2500,2.5649144947805126e+31,,15.505160499946214
12.424954213777866,133.7642583421046,8.322347651017282,4.7098204181520344,5.0006892763635395,129.27446847697232,127.17751423533043,0,6,candidate,72.1991638074851,6,2500,2.125902499197204e+31,,13.423046000069007
2.8266454971318993,130.88342726525903,8.628063140453518,4.280985081936564,4.6208334496183445,116.9926799173544,126.65846548693327,0,7,candidate,72.26074725041957,8,2500,2.439303261112087e+31,,13.813040199922398
12.424954213777866,117.15029306691594,6.429814079569201,9.04154641503471,8.770062490593679,133.4428216461715,124.2705166479689,0,8,candidate,72.785200058844,17,2500,3.133544618736345e+31,,14.436353099998087
7.103818133121807,134.50473931619257,7.403507879408465,5.744306311041773,4.952159394618253,124.78155249783477,123.28314391329218,0,9,candidate,72.56435887355148,13,2500,2.253746706206819e+31,,13.391580200055614
3.756403131271741,126.89769276231875,8.304846792135534,7.0223419125025925,8.005539172059168,122.14486089527395,125.81997190431248,0,10,candidate,71.77739590211408,0,2500,1.5386729806304814e+31,,13.921049500000663
3.644184166156101,128.33327603237674,8.577268289781356,5.492976644085222,5.4549109133026965,125.0522905630123,131.3597065520042,0,11,candidate,72.18526909537256,5,2500,2.1048144325297338e+31,,14.050930400029756
1.616581541992061,117.15029306691594,7.675999100672349,7.779521914625274,6.688070930121515,112.43714796378337,114.99960484264837,0,12,candidate,72.39910756001333,11,2500,3.93730925566728e+31,,14.300880199996755
3.731944829864368,126.9892010023026,7.368720494561371,7.9994617268343235,6.691248853941566,134.4371479637834,121.3982375477681,0,13,candidate,72.6861224137819,15,2500,2.8579611553271596e+31,,13.678884500055574
12.424954213777866,124.26247280654708,7.226301983991805,7.279408900777342,7.826264681724409,124.99242784497325,127.86790037759108,0,14,candidate,72.0350261638734,2,2500,1.7164089022039717e+31,,13.81667109997943
9.816902019239265,122.77158260354662,7.750887763547685,5.949967823974556,5.167780586432251,121.53897029817047,130.89906723971342,0,15,candidate,72.15020455501069,4,2500,1.9387711953953684e+31,,14.083789399941452
